,Topik 1,Topik 2,Topik 3
aalysi,6.64839012175814e-06,7.26066218281397e-06,4.026590274942783e-05
aam,7.127293845049653e-06,7.787450215565786e-05,6.7321606572777874e-06
ab,3.98903398389983e-05,7.126165697108178e-06,6.732160595274123e-06
abad,3.989033970155284e-05,7.126165732522471e-06,4.039296331563875e-05
abadi,6.648390041360611e-06,7.126165666875469e-06,7.405376566091915e-05
abil,3.9519548160777477e-05,7.126165787073431e-06,7.1076242085222975e-06
abjad,6.648390049553918e-06,0.00011401864975451619,6.732160576762345e-06
absensi,3.9890318147500714e-05,4.2756944593180274e-05,0.00014137543948722548
absolut,6.6516146148779275e-06,7.233615848874377e-06,0.00020859220164650425
abstract,6.648390078566725e-06,7.2529379662203305e-06,7.393400255346663e-05
abstractpada,6.648390104544983e-06,4.262355843820762e-05,6.8582180519847675e-06
abstrak,0.00046073607932539917,0.0003472602783964436,0.0007739917047007462
abstraksemakin,7.05491828934246e-06,4.2161500307451506e-05,6.883078537806394e-06
abstraksi,6.892702579009933e-06,0.00028983345072946767,4.2355569857019764e-05
acak,6.65409074884034e-06,0.00014705443618527204,0.00017748196314190193
acap,6.648390059910402e-06,7.126165688286612e-06,4.039296300693147e-05
acceler,6.648390037372545e-06,4.275699361374377e-05,6.7321605641791815e-06
acceleromet,0.0001387415543519403,7.126165891803771e-06,7.617816375396633e-06
accept,6.716628168269351e-06,7.128790967096477e-06,0.00020862539803737315
access,6.7522892162864305e-06,0.000123869381588666,6.464247179242892e-05
account,3.9755154640734715e-05,7.8387873925613e-05,6.868999960189384e-06
accuraci,8.596710489545416e-05,0.0004209347920113167,6.736074275737867e-06
accuracynya,7.313228986750785e-05,7.126165674773307e-06,6.732160575470866e-06
achmad,3.989033830646581e-05,7.126165740441047e-06,4.0392964720823235e-05
aclam,3.912847563288209e-05,7.208402894745366e-06,7.425934072763837e-06
acnekomedo,6.759260162267237e-06,4.263815592947473e-05,6.7321606208052196e-06
acommerc,0.0001063393608213454,7.126165684755365e-06,6.767479080333791e-06
action,6.741586271844045e-06,7.126165692779765e-06,7.395939512196733e-05
actionplatform,6.648390128916485e-06,6.65479657821506e-05,1.7917391754931813e-05
actionscript,6.652429247606345e-06,7.126165701107153e-06,4.0388872912859116e-05
activ,7.777600440553223e-06,0.00011271431369350724,6.8209414273321375e-06
actor,6.648390258106198e-06,4.120424063243571e-05,8.199061740243178e-06
acuan,0.0001925493839535218,0.0002277995901645241,0.0003842148419134045
acuannya,3.9884160876729615e-05,7.126165696002655e-06,6.73841741425662e-06
acut,6.6578998097835934e-06,0.0003634242531784318,6.732160574317097e-06
ad,3.9848101878653424e-05,7.126165698902619e-06,6.774930757323234e-06
adaboost,6.648390039888675e-06,0.00022091113402601247,6.732160566863604e-06
adadari,6.648390055500309e-06,7.126165683123715e-06,4.0392963016274616e-05
adalahdata,6.6483900618434364e-06,7.126165690395765e-06,4.039296300298152e-05
adalahnaã,6.746871876849238e-06,7.126165699658629e-06,4.029324029621149e-05
adamenunjukkan,3.989033988008943e-05,7.126165674425114e-06,6.732160575094336e-06
adanhya,6.648390068082124e-06,7.1261656974141695e-06,4.0392962990033814e-05
adapengadilan,6.648390088658047e-06,7.126165721165575e-06,4.0392962946760256e-05
adapt,6.653165209282585e-06,0.0004703269678506751,0.00037699611881301004
adaptif,9.682560125691856e-05,7.140620096191865e-06,0.0004203170893272146
adaptivita,3.919062183816529e-05,7.448251019003019e-06,7.136417875897486e-06
adat,3.986208448655063e-05,7.126165690591465e-06,6.7607719747294935e-06
adatif,6.648390083871271e-06,7.1261657156518044e-06,4.0392962956816305e-05
addi,6.653967349458848e-06,7.126165684626448e-06,0.00017503052590611709
addit,0.0011033004274841136,7.139890835400828e-06,0.00010803810130816335
adiwiyata,3.975520320636091e-05,7.1261657887415516e-06,6.868999879244645e-06
adjac,6.6483900627554385e-06,4.275699355869741e-05,6.732160590479083e-06
adjectiv,3.954068906598774e-05,7.500943483256306e-06,6.732160656274065e-06
adjust,3.983397607872544e-05,7.186579945046748e-06,6.7321605964522244e-06
adm,6.648390098392267e-06,6.57880798044353e-05,0.0001532784741920999
admin,0.00046978527182288485,7.235395787440457e-06,0.0005474805850669814
administasi,3.981958650244619e-05,7.126165735799345e-06,6.803805395859331e-06
administr,6.66606382835738e-06,7.187152087611239e-06,0.0006125510965343034
administra,6.797909921283761e-06,7.1261657267971326e-06,4.0241559140494325e-05
administrasi,0.001292803480026233,7.183611782863962e-06,0.0006229828384697377
administrasinya,6.648390052599275e-06,7.126165679785887e-06,4.03929630223655e-05
administratif,6.648390061142373e-06,7.126165689611963e-06,4.039296300443189e-05
administratiffasilita,3.983475256084477e-05,7.126165704730527e-06,6.788448272644116e-06
adminnistrasi,6.7979098941449115e-06,7.126165726797132e-06,4.024155916797513e-05
adminstrasi,6.648390064400661e-06,7.1261656932636615e-06,4.0392962997682724e-05
adob,3.9729046407401426e-05,7.126165731810907e-06,6.895486310815331e-06
adopsi,6.6483900678848405e-06,4.2756993547523776e-05,6.732160595840844e-06
adriani,7.207164844744774e-05,8.263028115510906e-06,6.732160793556598e-06
adt,6.648390054485107e-06,7.126165681976486e-06,4.039296301838641e-05
advanc,3.984191155440161e-05,7.178035166736962e-06,0.00010771460531563379
adventur,6.648390062262684e-06,7.126165690857434e-06,7.40537656170975e-05
adverb,3.954068906598774e-05,7.500943483256306e-06,6.732160656274065e-06
advertis,3.1319181724944774e-05,7.1261657686478235e-06,4.907211889469215e-05
ae,6.6483900866691615e-06,0.00038838306478487274,5.0484554325237594e-05
aed,0.00010637423984609162,7.12616568009447e-06,6.732160580068482e-06
aegypti,7.313228985070999e-05,7.12616568411021e-06,6.7321605836596374e-06
aesturbo,6.6483901465100335e-06,7.524498047524438e-06,4.001665432207143e-05
afrizar,6.6483900630448155e-06,7.126165691970569e-06,4.0392963000277274e-05
ag,6.6483900484484074e-06,4.275699358969345e-05,6.732160575684235e-06
agama,0.0001950006138383457,7.276080947405716e-06,0.00015247307529849853
agen,6.677845046688046e-06,7.168804334589352e-06,0.00044425248710380663
agenda,6.801719069185188e-06,4.2519486491745276e-05,6.8012749409061064e-06
agent,7.313227359475384e-05,7.1261657438741875e-06,0.00010771458483255365
agentbas,0.00023934203980128564,7.126165678442957e-06,6.732160578716897e-06
agentâ,7.313228984903878e-05,7.126165684936942e-06,6.73216058457088e-06
agfarizi,3.989033986250028e-05,7.126165684057601e-06,6.732160583805131e-06
aggreg,6.648390092823166e-06,7.126165725694784e-06,4.0392962938263824e-05
agil,7.458805197389968e-06,7.126165720955773e-06,0.00017421554696861593
agoritma,6.648390059491171e-06,4.275699356577005e-05,6.732160587102916e-06
agrari,6.648390070430992e-06,4.2756993542113126e-05,6.73216059837407e-06
agresif,7.313228984721428e-05,7.126165685941632e-06,6.732160585469229e-06
agribisni,6.7772626644432265e-06,4.26188597266943e-05,6.73216060224734e-06
agung,6.648390059961413e-06,7.126165688211019e-06,4.039296300695123e-05
agustu,6.648390087305497e-06,4.266691785697258e-05,6.817255989315193e-06
ahe,6.648390047302615e-06,7.838782167578788e-05,6.73216057447637e-06
ahkir,7.049506929010731e-06,4.228497301111314e-05,6.771912173746049e-06
ahli,0.00026144017539324457,0.00016159427579014342,4.0392820091182465e-05
ahp,0.001413974120337771,7.1573718716819695e-06,6.271978841664244e-05
ahpanalyt,8.477269625170686e-06,4.0796684174548105e-05,6.732160965488925e-06
ahpmoora,3.989033989386205e-05,7.126165666863805e-06,6.732160568291472e-06
ai,0.0001726423742960628,7.126165721505661e-06,6.950644738944803e-06
aid,6.648390050345053e-06,7.141166712804286e-06,0.00014136119924232837
air,0.0006745190352090298,4.461961412283402e-05,0.0008770835476610085
aisk,3.9746602260975624e-05,7.126165724449795e-06,6.8777092583159515e-06
ajar,6.664433718271624e-06,7.1261656749832454e-06,0.0002086807302838167
ajaran,0.00020607831253348022,7.149507938247519e-06,6.732160586563809e-06
ajer,6.648390053538417e-06,7.126165680848661e-06,4.039296302041051e-05
ajher,6.648390067953876e-06,7.126165697465517e-06,4.0392962990115176e-05
ajukan,3.988264254696694e-05,7.134416146449937e-06,6.732160591417691e-06
aka,6.6483905111600474e-06,4.22461760938399e-05,7.2147345464350745e-06
akademi,1.2864205251217051e-05,3.609445326597309e-05,4.0392996989425874e-05
akademik,0.0006834842514644312,5.3794210351970794e-05,0.0023740741526786387
akademika,6.648390063035322e-06,7.12616569173894e-06,4.0392963000505695e-05
akademiknya,3.98419285083521e-05,7.17803516520594e-06,7.405378553455733e-05
akademisi,6.6483900703326615e-06,4.2756993542181614e-05,6.732160598408951e-06
akar,6.781133138439621e-06,0.00011365928794105558,6.9372376375780935e-06
akbiat,3.98903398389983e-05,7.126165697108178e-06,6.732160595274123e-06
akhirakhir,2.1601525188692708e-05,6.0943654219823e-05,4.173109763360036e-05
akhiran,6.717484527523181e-06,7.831376180655091e-05,6.732160600623034e-06
akhirannya,6.648390062798839e-06,4.275699355859283e-05,6.7321605905339265e-06
aki,6.648390049864076e-06,4.275699358686218e-05,6.732160576925449e-06
akibat,6.754987205383099e-06,0.0002858372141663211,4.627030544316696e-05
akibatnya,9.630175782785784e-05,7.267159096611285e-06,8.411996442804311e-05
akomodasi,3.9890340315088765e-05,7.126165745110214e-06,4.039296268248034e-05
akreditasi,6.671584521006446e-06,7.126165692159312e-06,0.0006462639233580629
akrobatik,3.989033977866038e-05,7.12616573003344e-06,6.732160625267216e-06
aks,0.00015171951839044364,0.00011839869167916865,0.00046158969560460206
aksara,6.685177118286959e-06,0.0004702874998798596,6.732160575960457e-06
akseleromet,7.31167162680043e-05,7.12616567223712e-06,6.747930406603555e-06
aksesibilita,3.989036167378944e-05,4.177812645511041e-05,7.656884318324306e-06
aksesnya,6.648390096732786e-06,4.261991320094965e-05,6.861661752289472e-06
aksesori,6.6483901035302205e-06,4.2756944439166835e-05,0.0001750362200273628
aksi,6.692404419749297e-06,7.834344740689965e-05,0.00017503352550927995
aktif,4.2083922087674265e-05,7.1849016950069435e-06,0.0003410634766020978
aktifita,3.989021025786657e-05,0.0001153206065609035,0.00020746713595608967
aktifitasnya,6.648390063035322e-06,7.12616569173894e-06,4.0392963000505695e-05
aktivasi,6.690378928862067e-06,7.2112255171104664e-06,4.0270088194865764e-05
aktivasigaussian,6.690378928862067e-06,7.2112255171104664e-06,4.0270088194865764e-05
aktivita,0.00019742230748892288,5.0381595366143854e-05,0.00044590667998619456
aktor,3.98902414391881e-05,0.00032772027832232665,6.810992492787102e-06
aktual,0.00010254590702490809,7.128547888189153e-06,4.42672829806678e-05
aktualisasi,6.648390047494995e-06,7.126165673977437e-06,4.039296303302145e-05
akulturasi,3.989033982001645e-05,7.126165707320824e-06,6.73216060484707e-06
akun,6.6483901234155565e-06,2.3863496768352018e-05,5.8241840095816114e-05
akunt,6.648390155098318e-06,4.232043660547936e-05,7.144580252801776e-06
akuntansi,6.535885742873171e-05,7.126165768562003e-06,4.826434173771635e-05
akurasi,0.004912085327781758,0.012221147458291667,0.0004994823498693644
akurasinya,0.0003219017527505095,0.00016767495398899152,7.085744079350932e-06
akurasipengujian,6.648390058266863e-06,4.2756993568446194e-05,6.732160585814475e-06
akurasiq,3.989033988227591e-05,7.126165673247217e-06,6.732160573993089e-06
akurat,0.0014771382139302557,0.0005086678771611012,0.00040015865561963233
akuratan,6.648390080605368e-06,7.174647997880332e-06,4.034716125911886e-05
akusisi,6.648390063088612e-06,7.126165691899461e-06,4.039296300030009e-05
akut,7.730457504526609e-06,7.1667338088643465e-06,7.291973888199145e-05
al,0.00013952965642130915,0.0001494887641705022,6.971612312973556e-06
alam,0.0001178263757143678,1.7182142109832425e-05,0.00015393975713226765
alamat,3.9890319111538e-05,7.126165734082352e-06,0.00010771458939354371
alami,4.278005478346744e-05,0.0002033657071996205,5.40421793295047e-05
alaminya,3.989033982217489e-05,7.126165706177181e-06,6.732160603741863e-06
alarm,3.989033100757433e-05,7.529021382322002e-06,7.367319293891708e-05
alasan,3.989029280319543e-05,7.83878556313329e-05,7.405378155296623e-05
alasannnya,3.989033980990941e-05,7.126165712838582e-06,6.732160609868745e-06
alat,0.0004401712446565731,0.0005213850807615505,0.0005629965967844582
alatalat,3.9890335865874235e-05,4.2756997954543115e-05,6.73216067506578e-06
alatnya,6.648390059910402e-06,7.126165688286612e-06,4.039296300693147e-05
albab,3.9193360480033616e-05,7.126165877553758e-06,7.437921808167114e-06
albopictu,3.989033984923188e-05,7.126165691398156e-06,6.732160590305964e-06
alcohol,6.648390051932649e-06,7.838782166565086e-05,6.732160579364508e-06
aldousbrod,6.64839007258841e-06,7.126165702178769e-06,4.039296298096948e-05
alena,6.648390055825098e-06,7.126165683540472e-06,0.00010771456824547908
alergi,6.759260162267237e-06,4.263815592947473e-05,6.7321606208052196e-06
alert,6.648390054926777e-06,7.126165682554394e-06,0.0002760185813220258
alfa,3.961553535807278e-05,7.126165778345668e-06,7.010427569151218e-06
alfabet,6.667737197269714e-06,4.5351190237941705e-05,0.00017256581898969687
alfabeti,3.986904101154422e-05,7.12616570950988e-06,6.753727778808191e-06
alfagram,0.00013959898691165602,7.126165691663792e-06,6.749580250556067e-06
algorithm,9.981742519862372e-05,0.00012104665921684616,6.732160644493973e-06
algoritm,9.422265462567907e-05,7.126165779587124e-06,5.269765977793991e-05
algoritma,0.0009569620314799298,0.006520494531782745,0.002720154034184745
algoritmanya,6.849534121947656e-06,4.2541387722402854e-05,4.0392969713854675e-05
algortihm,6.648390060106763e-06,4.2756993564320934e-05,6.732160587848548e-06
algortima,6.648390081411794e-06,7.838782160175642e-05,6.732160609875366e-06
alir,3.9738193735494726e-05,7.126165728948607e-06,6.886223727987894e-06
aliran,0.00016284092953536473,0.0001471605619654797,5.288769564471812e-05
aliyah,6.152374436051077e-05,7.126165751172683e-06,8.580858033005577e-05
alkohol,3.989030864147877e-05,0.00011401868333237155,6.732160646868674e-06
all,6.670886650594691e-06,0.0007197186138881005,6.732160580953804e-06
allidb,6.660851402959401e-06,0.00014963612096814894,6.73216057848097e-06
allimin,3.926141208119733e-05,7.126165994254321e-06,7.369012638321653e-06
allnegatif,6.648390065833244e-06,0.00011401864971918751,6.7321605936530855e-06
allpositif,6.648390065833244e-06,0.00011401864971918751,6.7321605936530855e-06
allupurinol,6.648390084984419e-06,7.1261657169983005e-06,4.039296295441707e-05
allwhit,3.461585276639788e-05,1.2779694931176273e-05,6.732160766427564e-06
almadani,7.312899534363406e-05,7.129696954107937e-06,6.732160575543419e-06
alokasi,6.648390070060905e-06,7.215651830902443e-06,4.030842453518754e-05
alpha,3.9787666518463364e-05,7.263234649887257e-06,0.00020867145287944316
alphabet,6.6483900503600795e-06,7.83878216690866e-05,6.732160577711111e-06
alphanumer,6.648390107011904e-06,7.126165742091902e-06,4.0392962908405655e-05
alphanumerik,6.6483900627693205e-06,7.211481391013448e-06,0.00024227718008888957
alqadarmodel,6.648390065083321e-06,7.126165694152749e-06,4.0392962996151526e-05
alquran,7.257415865269656e-05,0.000114018757244113,7.297222925911108e-06
alqurâ,6.692040736919778e-06,0.0002565320314636825,0.00014134055190648986
altern,0.00023598168414280725,1.0642446459794996e-05,6.812991213815282e-06
alternat,3.989033982416611e-05,7.126165705049888e-06,6.732160602790531e-06
alternatif,0.0023785511912437695,0.00029762522124211906,0.00019167392934099485
alternatifalternatif,3.989033986859469e-05,7.126165680725328e-06,6.732160580781986e-06
alternatifpada,3.989033987235106e-05,7.126165678643603e-06,6.732160578944925e-06
alumni,0.0003671844304126513,7.126165744372228e-06,7.924375587022202e-05
alumninya,3.975520320636091e-05,7.1261657887415516e-06,6.868999879244645e-06
alur,3.95657104464193e-05,7.474114977177544e-06,4.039297177829609e-05
aman,6.711348240883875e-06,7.180461630602433e-06,0.0003095643385403611
amanatkan,3.989033979574828e-05,7.126165720627135e-06,6.732160616850311e-06
ambami,3.912846286378501e-05,7.208402957085143e-06,7.425946943860084e-06
ambang,6.661990435158674e-06,0.00018526572816830885,6.732160575188582e-06
ambigu,7.293736018274272e-05,7.33510362713281e-06,6.732160607180379e-06
ambil,6.648390051449439e-06,4.2756993583181464e-05,6.7321605787973016e-06
ambroxol,6.648390059948781e-06,7.126165688256811e-06,4.039296300692076e-05
ambunten,6.648390043886427e-06,7.126165669776459e-06,0.0001077145682705713
amen,7.195821654642774e-06,4.217022153238647e-05,6.732160743864107e-06
amerika,3.9884160876729615e-05,7.126165696002655e-06,6.73841741425662e-06
amil,7.524561099766943e-06,0.00011307951397006186,6.732160710143082e-06
aml,6.648390047881849e-06,7.83878216744967e-05,6.732160575109627e-06
amplitudu,6.648390103447453e-06,7.81958110245756e-05,6.913554915976676e-06
an,4.5637920212989837e-05,0.00036322205585004406,0.00016941682070105348
anak,0.00018628902609485348,7.167926730199722e-06,0.0028542608136855586
anakan,2.3609395956229248e-05,7.126166072826682e-06,2.3218246001557507e-05
anakanak,4.712030930459055e-05,7.982269145228288e-05,0.0013108268588443337
anakdalam,3.9890339809556096e-05,7.126165712871806e-06,6.732160610195121e-06
anaknya,6.648390059910402e-06,7.126165688286612e-06,4.039296300693147e-05
anakus,3.961382503087736e-05,7.422551678577666e-06,6.732160697792178e-06
anali,6.764304087211732e-06,7.316807491427296e-06,7.375628982939073e-05
analisa,0.0007368684061245701,0.0007498737960356206,0.0004169742500878935
analisi,0.0005423886524242519,0.0004339158368720776,0.0006431067218476477
analit,0.0001395979980866692,7.145664743550087e-06,6.73216058390107e-06
analitik,0.00010637423989048817,7.126165655659837e-06,6.732160558196351e-06
analityc,0.00016702193580087288,7.169283841829411e-06,1.2601167321904721e-05
analsisi,3.976212148727101e-05,7.126165707399656e-06,6.861994504005717e-06
analysi,0.00015303869781890073,0.0021975056540157844,0.0001791407107170479
analysissna,6.648390070249385e-06,4.26795393456477e-05,6.8053323589658765e-06
analyt,0.0010725895026219342,7.15091857734179e-06,0.0004420727930870788
analyz,3.989033986751994e-05,7.1261656812801654e-06,6.732160581346114e-06
